       17	2024-01-01 10:28:13	1	255	1	0
       11	2024-01-01 11:10:17	1	255	1	0
       16	2024-01-01 11:49:02	1	255	1	0
       16	2024-01-01 17:52:40	1	255	1	0
       11	2024-01-01 17:55:15	1	255	1	0
       17	2024-01-02 10:32:34	1	255	1	0
       12	2024-01-02 10:33:14	1	255	1	0
       11	2024-01-02 11:13:30	1	255	1	0
       11	2024-01-02 11:14:48	1	255	1	0
       11	2024-01-02 11:29:49	1	255	1	0
       12	2024-01-02 19:11:32	1	255	1	0
       17	2024-01-02 19:11:40	1	255	1	0
       12	2024-01-03 10:52:36	1	255	1	0
       17	2024-01-03 11:03:35	1	255	1	0
       16	2024-01-03 13:13:53	1	255	1	0
       12	2024-01-03 17:55:37	1	255	1	0
       17	2024-01-03 18:07:14	1	255	1	0
       17	2024-01-06 10:43:41	1	255	1	0
       12	2024-01-06 10:47:30	1	255	1	0
       11	2024-01-06 10:48:47	1	255	1	0
       11	2024-01-06 17:06:55	1	255	1	0
       17	2024-01-06 17:45:40	1	255	1	0
       12	2024-01-06 17:48:19	1	255	1	0
       12	2024-01-07 10:17:42	1	255	1	0
       11	2024-01-07 10:29:35	1	255	1	0
       16	2024-01-07 10:40:56	1	255	1	0
       11	2024-01-07 17:02:51	1	255	1	0
       16	2024-01-07 17:04:06	1	255	1	0
       12	2024-01-07 18:17:57	1	255	1	0
       17	2024-01-08 10:09:58	1	255	1	0
       12	2024-01-08 10:35:19	1	255	1	0
       11	2024-01-08 10:59:46	1	255	1	0
       17	2024-01-08 17:50:40	1	255	1	0
       11	2024-01-08 18:34:07	1	255	1	0
       12	2024-01-08 18:35:14	1	255	1	0
       12	2024-01-09 10:00:56	1	255	1	0
       11	2024-01-09 11:04:45	1	255	1	0
       12	2024-01-09 17:44:59	1	255	1	0
       17	2024-01-10 10:17:13	1	255	1	0
       12	2024-01-10 10:33:44	1	255	1	0
       11	2024-01-10 10:56:08	1	255	1	0
       12	2024-01-10 18:16:42	1	255	1	0
       17	2024-01-10 18:17:16	1	255	1	0
       16	2024-01-10 18:17:30	1	255	1	0
       11	2024-01-10 18:20:05	1	255	1	0
       11	2024-01-13 10:14:39	1	255	1	0
       12	2024-01-13 10:28:59	1	255	1	0
       16	2024-01-13 11:03:05	1	255	1	0
       12	2024-01-13 16:59:28	1	255	1	0
       11	2024-01-13 17:05:59	1	255	1	0
       17	2024-01-14 10:10:48	1	255	1	0
       12	2024-01-14 10:36:23	1	255	1	0
       11	2024-01-14 10:43:07	1	255	1	0
       16	2024-01-14 11:21:20	1	255	1	0
       11	2024-01-14 17:05:40	1	255	1	0
       12	2024-01-14 17:05:52	1	255	1	0
       16	2024-01-14 17:36:32	1	255	1	0
       17	2024-01-14 17:36:40	1	255	1	0
       17	2024-01-15 10:30:06	1	255	1	0
       12	2024-01-15 10:45:43	1	255	1	0
       17	2024-01-15 18:10:46	1	255	1	0
       12	2024-01-15 18:11:02	1	255	1	0
       16	2024-01-15 18:17:24	1	255	1	0
       17	2024-01-15 18:18:41	1	255	1	0
       12	2024-01-16 10:41:40	1	255	1	0
       11	2024-01-16 11:04:57	1	255	1	0
       17	2024-01-16 13:59:46	1	255	1	0
       16	2024-01-16 18:09:45	1	255	1	0
       17	2024-01-16 18:09:51	1	255	1	0
       12	2024-01-16 18:11:07	1	255	1	0
       12	2024-01-17 09:46:31	1	255	1	0
       11	2024-01-17 11:16:24	1	255	1	0
       12	2024-01-17 18:13:12	1	255	1	0
       16	2024-01-17 18:19:46	1	255	1	0
       11	2024-01-17 18:19:59	1	255	1	0
       12	2024-01-18 10:11:18	1	255	1	0
       16	2024-01-18 11:24:43	1	255	1	0
       17	2024-01-18 11:26:57	1	255	1	0
       11	2024-01-18 11:31:04	1	255	1	0
       11	2024-01-18 16:14:51	1	255	1	0
       17	2024-01-18 16:15:50	1	255	1	0
       12	2024-01-18 16:19:59	1	255	1	0
       12	2024-01-20 10:26:18	1	255	1	0
       11	2024-01-20 10:34:01	1	255	1	0
       17	2024-01-20 10:45:36	1	255	1	0
       16	2024-01-20 12:27:06	1	255	1	0
       12	2024-01-20 17:56:19	1	255	1	0
       11	2024-01-21 10:34:08	1	255	1	0
       12	2024-01-21 10:55:38	1	255	1	0
       12	2024-01-21 18:01:56	1	255	1	0
       12	2024-01-22 10:16:25	1	255	1	0
       11	2024-01-22 10:42:05	1	255	1	0
       11	2024-01-22 17:58:40	1	255	1	0
